LinJ.01.0030	LinJ.02.0230	0.242054	\N	\N
LinJ.01.0030	LinJ.05.0030	0.247187	\N	\N
LinJ.01.0030	LinJ.07.0610	0.241341	\N	\N
LinJ.01.0030	LinJ.07.0790	0.242349	\N	\N
LinJ.01.0030	LinJ.09.0980	0.185177	\N	\N
LinJ.01.0030	LinJ.09.1130	0.193738	\N	\N
LinJ.01.0030	LinJ.10.0960	0.23723	\N	\N
LinJ.01.0030	LinJ.10.1250	0.131238	\N	\N
LinJ.01.0030	LinJ.11.1160	0.234815	\N	\N
LinJ.01.0030	LinJ.13.0220	0.13007	\N	\N
LinJ.01.0030	LinJ.13.1350	0.259227	\N	\N
LinJ.01.0030	LinJ.17.0080	0.258328	\N	\N
LinJ.01.0030	LinJ.17.0110	0.312637	\N	\N
LinJ.01.0030	LinJ.17.0200	0.250259	\N	\N
LinJ.01.0030	LinJ.17.0890	0.21589	\N	\N
LinJ.01.0030	LinJ.18.1140	0.208897	\N	\N
LinJ.01.0030	LinJ.19.0250	0.204349	\N	\N
LinJ.01.0030	LinJ.21.0870	0.193667	\N	\N
LinJ.01.0030	LinJ.21.1990	0.20424	\N	\N
LinJ.01.0030	LinJ.22.0640	0.0951675	\N	\N
LinJ.01.0030	LinJ.25.1460	0.326217	\N	\N
LinJ.01.0030	LinJ.25.1740	0.503504	\N	\N
LinJ.01.0030	LinJ.25.2050	0.203871	\N	\N
LinJ.01.0030	LinJ.26.0260	0.099359	\N	\N
LinJ.01.0030	LinJ.27.0620	0.161951	\N	\N
LinJ.01.0030	LinJ.27.2260	0.266735	\N	\N
LinJ.01.0030	LinJ.29.0950	0.25202	\N	\N
LinJ.01.0030	LinJ.29.2310	0.29248	\N	\N
LinJ.01.0030	LinJ.30.2380	0.0953019	\N	\N
LinJ.01.0030	LinJ.31.2890	0.324151	\N	\N
LinJ.01.0030	LinJ.32.0520	0.125937	\N	\N
LinJ.01.0030	LinJ.32.2160	0.15122	\N	\N
LinJ.01.0030	LinJ.32.2330	\N	0.598843	0
LinJ.01.0030	LinJ.32.3310	0.137311	\N	\N
LinJ.01.0030	LinJ.32.4020	0.270424	\N	\N
LinJ.01.0030	LinJ.33.1940	0.128375	\N	\N
LinJ.01.0030	LinJ.33.2880	0.192949	\N	\N
LinJ.01.0030	LinJ.34.2700	0.144096	\N	\N
LinJ.01.0030	LinJ.34.4090	0.249991	\N	\N
LinJ.01.0030	LinJ.35.0130	0.260441	\N	\N
LinJ.01.0030	LinJ.35.5180	0.125749	\N	\N
LinJ.01.0030	LinJ.36.0210	0.330065	\N	\N
LinJ.01.0030	LinJ.36.0620	0.237515	\N	\N
LinJ.01.0030	LinJ.36.3140	0.137852	\N	\N
LinJ.01.0030	LinJ.36.6510	0.197192	\N	\N
